stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3610,8,Av. Vergílio Ferreira (Fundação Oriente),,38.74413550,-9.11844700,,,0,,,
7822,14,Av. D. João II,,38.77132550,-9.09776300,,,0,,,
7802,41,R. Sarg. Armando Monteiro Ferreira,,38.77170850,-9.10998400,,,0,,,
7812,50,Pç. José Queirós,,38.77379150,-9.10475500,,,0,,,
2219,7,Av. Paulo VI,,38.74790260,-9.10895100,,,0,,,
2209,37,B. Prodac,,38.74660050,-9.10711100,,,0,,,
6716,6,R. Palmeira,,38.71483650,-9.15015100,,,0,,,
9502,14,Hosp. Egas Moniz - Av. India,,38.69776060,-9.18697500,,,0,,,
6706,13,R. S. Bento,,38.71528050,-9.15438000,,,0,,,
9512,30,R. Pinto Ferreira,,38.69822450,-9.19135300,,,0,,,
7906,5,R. Laureano Oliveira,,38.77664210,-9.10285080,,,0,,,
7916,1,Moscavide (Qta. Laranjeiras),,38.77191050,-9.10148200,,,0,,,
8109,5,Estrela - R. Domingos Sequeira,,38.71408660,-9.16171100,,,0,,,
7726,35,R. Mercado,,38.77052460,-9.11693700,,,0,,,
7706,13,Piscina Olivais,,38.76961440,-9.11247280,,,0,,,
7716,21,Av. Berlim,,38.76715050,-9.11021400,,,0,,,
9109,13,Sapadores,,38.72219150,-9.12872000,,,0,,,
9119,6,R. Sra. Glória,,38.71821750,-9.12766500,,,0,,,
9129,11,Sapadores,,38.72097550,-9.13019800,,,0,,,
1802,5,Saldanha,,38.73389550,-9.14506500,,,0,,,
1812,27,Saldanha,,38.73362150,-9.14508600,,,0,,,
8305,12,Cç. Grilo,,38.73024550,-9.10788900,,,0,,,
1906,3,Campo Pequeno - Av. República,,38.74170750,-9.14689100,,,0,,,
2812,13,Estação Benfica,,38.74488150,-9.19981900,,,0,,,
2802,7,Estação Benfica - Av. Gomes Pereira,,38.74544350,-9.19803500,,,0,,,
2906,17,R. Prof. Jorge Silva Horta,,38.74595900,-9.20471300,,,0,,,
13824,3,Lg. Terreirinho,,38.71606410,-9.13307190,,,0,,,
13822,4,R. Lagares,,38.71546150,-9.13208500,,,0,,,
3802,8,Cais Sodré,,38.70631050,-9.14525900,,,0,,,
3812,39,Cais Sodré,,38.70568150,-9.14396900,,,0,,,
8844,26,Alto Zambujal,,38.73633350,-9.21259600,,,0,,,
8814,14,Buraca,,38.74377950,-9.20576500,,,0,,,
8804,32,Qta. Torres,,38.73361950,-9.20766100,,,0,,,
5708,12,Campo Grande - Av. Brasil,,38.75513750,-9.15034500,,,0,,,
8824,12,R. Creche,,38.74407250,-9.21087500,,,0,,,
8508,6,Cruz Almas,,38.72534150,-9.16333210,,,0,,,
2716,1,Estação Campolide,,38.73137810,-9.16837720,,,0,,,
2706,4,B. Liberdade,,38.73308050,-9.16911700,,,0,,,
4114,30,Altinho (MAAT),,38.69750950,-9.19601000,,,0,,,
4104,2,Belém - Cç. Ajuda,,38.69798450,-9.19938400,,,0,,,
3926,4,Santos,,38.70647750,-9.15447800,,,0,,,
3906,11,Cais Rocha (Museu Nac. Arte Antiga),,38.70377630,-9.16235320,,,0,,,
8610,5,Arco Carvalhão,,38.72402050,-9.16537300,,,0,,,
9804,21,R. D. Fuas Roupinho,,38.72461250,-9.11638100,,,0,,,
9814,41,Cç. Cruz Pedra,,38.72035550,-9.11710900,,,0,,,
9824,4,Cç. Cruz Pedra,,38.72045850,-9.11780600,,,0,,,
9508,29,R. Pinto Ferreira,,38.69782750,-9.19175800,,,0,,,
6708,12,R. Borges Carneiro / Cç. Estrela,,38.71228750,-9.15633600,,,0,,,
3706,6,Pç. Eduardo Mondlane,,38.74413250,-9.11368100,,,0,,,
3716,17,Av. Paulo VI (Igreja),,38.74246060,-9.11293000,,,0,,,
2319,33,Az. Baptista,,38.75305610,-9.10327110,,,0,,,
6020,31,Av. Nuno Krus Abecassis,,38.77939600,-9.15120260,,,0,,,
6010,4,Qta. Pailepa,,38.78808650,-9.14565300,,,0,,,
9610,16,Mosteiro Jerónimos,,38.69722350,-9.20506100,,,0,,,
7708,10,Piscina Olivais,,38.76869750,-9.11438700,,,0,,,
7718,19,Esc. Olivais,,38.76489650,-9.10977600,,,0,,,
6124,24,R. Campolide (Escola),,38.73220950,-9.16273900,,,0,,,
6104,7,Campolide,,38.72649450,-9.16226920,,,0,,,
3309,8,Qta. Freiras,,38.74394250,-9.15477200,,,0,,,
7010,7,Pç. Paiva Couceiro,,38.73136250,-9.12708900,,,0,,,
9209,1,Desterro,,38.72078800,-9.13815200,,,0,,,
7104,16,Conde Barão - Av. D. Carlos I,,38.70940990,-9.15325920,,,0,,,
1010,32,Restauradores,,38.71619460,-9.14175820,,,0,,,
8842,2,B. Zambujal,,38.73867760,-9.21036400,,,0,,,
